Day,Channel,Content Type,Topic,Hook,Core Copy or Script,CTA,Landing Path,Revenue Goal
11,Facebook/Instagram,Vehicle Diagnostic Tip,OBD-II scanner,"A check-engine light is information, not a diagnosis.","Read the code first, record freeze-frame data when available, and avoid replacing parts just because the code names a system. Codes narrow the search; testing confirms the cause.","Browse diagnostic tools.","/shop.html?category=garage","Affiliate clicks"
12,YouTube Shorts,Short Script,OBD-II scanner,"Do not clear the code before you save this.","Before clearing a check-engine light, record the exact code and freeze-frame data. That snapshot can show engine load, temperature, speed, and voltage when the fault happened.","Diagnostic-tool picks are linked.","/shop.html?category=garage","Affiliate clicks"
13,Facebook/Instagram,Contractor Tip,Caulk selection,"One tube of caulk does not fit every job.","Match the sealant to the surface, movement, exposure, and paint requirement. Exterior joints need weather resistance and flexibility; kitchens and baths need water and mildew resistance.","See contractor consumable picks.","/shop.html?category=tools","Affiliate clicks"
14,YouTube Shorts,Short Script,Caulk selection,"Why does caulk crack after one season?","Usually the wrong product, poor surface prep, too-thick application, or a joint that moves more than the sealant can handle. Clean, size, and tool the joint correctly.","Shop contractor picks.","/shop.html?category=tools","Affiliate clicks"
15,Facebook/Instagram,Welding Tip,Grinding prep,"Good welds start before the arc.","Remove paint, rust, scale, oil, and moisture from the weld area. Clean fit-up improves arc stability, penetration, appearance, and inspection results.","Browse welding and prep gear.","/shop.html?category=welding","Affiliate clicks"
16,YouTube Shorts,Short Script,Grinding prep,"The fastest way to improve a weld without changing settings.","Clean the joint. Bright metal, solid fit-up, correct gap, and a clean ground connection solve more problems than random machine adjustments.","Welding gear is linked on the site.","/shop.html?category=welding","Affiliate clicks"
17,Facebook/Instagram,Garage Tip,Battery testing,"A vehicle can crank and still have a power-supply problem.","Check resting voltage, voltage during cranking, charging voltage, terminal condition, and grounds. Low voltage can create misleading sensor and communication faults.","See battery and diagnostic tools.","/shop.html?category=garage","Affiliate clicks"
18,YouTube Shorts,Short Script,Battery testing,"Before chasing electrical codes, test this first.","Start with battery voltage, charging output, terminals, and grounds. Modern vehicles can throw multiple unrelated codes when system voltage drops.","Diagnostic picks are on the site.","/shop.html?category=garage","Affiliate clicks"
19,Facebook/Instagram,Contractor Tip,Measuring twice,"The most expensive cut is the one made before checking the reference point.","Measure from the same reference, confirm square, account for trim and clearances, and mark the waste side. A five-second verification can save a material run.","Browse layout and measuring tools.","/shop.html?category=tools","Affiliate clicks"
20,YouTube Shorts,Short Script,Measuring twice,"Measure twice is not enough if both measurements start wrong.","Use one reference point, check square, mark the waste side, and verify the finished opening—not just the raw cut length.","See measuring-tool picks.","/shop.html?category=tools","Affiliate clicks"
21,Facebook/Instagram,Collectibles Tip,Raw vs graded cards,"Not every clean card should be graded.","Compare realistic grade outcomes, grading fees, shipping, turnaround time, and the price difference between raw, PSA 9, and PSA 10. Grade for expected value, not excitement alone.","Browse card supplies and collecting tools.","/shop.html?category=cards","Affiliate clicks"
22,YouTube Shorts,Short Script,Raw vs graded cards,"Should you grade that card? Use this quick test.","Check centering, corners, edges, and surface under bright light. Then compare the raw price, PSA 9 price, PSA 10 price, and total grading cost.","Card-storage and grading prep picks are linked.","/shop.html?category=cards","Affiliate clicks"
23,Facebook/Instagram,Deals Post,Refurbished tools,"Refurbished can be a smart buy when the source and warranty are clear.","Look for seller reputation, return terms, included batteries and chargers, model number, condition notes, and warranty. Compare the full kit—not just the headline price.","Browse current refurbished and open-box searches.","/shop.html?category=deals","Affiliate clicks"
24,YouTube Shorts,Short Script,Refurbished tools,"How to avoid a bad refurbished-tool deal.","Verify the exact model, seller rating, return policy, warranty, battery condition, and what is actually included. A bare tool is not the same deal as a full kit.","Current deal searches are on the site.","/shop.html?category=deals","Affiliate clicks"
25,Facebook/Instagram,Contractor Tip,PPE,"The tool is not the only thing that needs to match the job.","Use eye, hearing, respiratory, hand, and fall protection based on the actual hazard. Comfort and fit matter because protective gear only works when it stays on.","Browse jobsite safety gear.","/shop.html?category=tools","Affiliate clicks"
26,YouTube Shorts,Short Script,PPE,"The best safety gear is the gear you will actually wear correctly.","Choose protection that fits, does not block visibility, and matches the hazard. Wrong PPE can create false confidence.","Safety and contractor picks are linked.","/shop.html?category=tools","Affiliate clicks"
27,Facebook/Instagram,Garage/Harley Tip,Torque wrench,"Tight is not a specification.","Critical fasteners should be tightened to the correct torque using the proper sequence and a suitable torque wrench. Guessing risks damaged threads, distortion, or loose components.","Browse garage and Harley tools.","/shop.html?category=garage","Affiliate clicks"
28,YouTube Shorts,Short Script,Torque wrench,"Stop using an impact as a torque wrench.","An impact gets the fastener close. A torque wrench finishes critical fasteners to specification. Use the proper sequence and clean thread condition.","Garage tool picks are on the site.","/shop.html?category=garage","Affiliate clicks"
29,Facebook/Instagram,Brand/Lead Post,Prestige Select,"Contractor experience should make product shopping simpler—not louder.","Prestige Select organizes tools, welding gear, garage items, card supplies, and practical deals around real work and real use cases. The goal is fewer bad purchases and faster decisions.","Visit the full storefront.","/shop.html","Affiliate clicks and brand growth"
30,YouTube Shorts,Short Script,Brand/Lead Post,"Why Prestige Select exists.","After years in construction, remodeling, welding, and fabrication, I built one place for practical tool, shop, garage, and collectible picks without the hype.","Visit the storefront and follow for daily practical picks.","/shop.html","Affiliate clicks and audience growth"
